Coaster,Park,City,State,Type,Design,Opened,Speed,Height,Drop,Length,Inversions,Age_Group
Afterburner,Fun Spot,Angola,Indiana,Steel,Sit Down,1991,45,56,47,635,1,2:middle
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Inverted,1997,67,195,170,3828,,2:middle
American Eagle,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1981,66,127,147,4650,0,1:older
Anaconda,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,1991,50,128,144,2700,4,2:middle
Apollos Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1999,73,170,210,4882,0,3:newer
Arkansas Twister,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Wooden,Sit Down,2000,,95,92,3340,0,3:newer
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,139,1137,2,2:middle
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,105,1229,3,2:middle
Batman Knight Flight,Six Flags Worlds of Adventure,Aurora,Ohio,Steel,Sit Down,2000,65,157,148,4210,5,3:newer
Batman The Escape,Six Flags AstroWorld,Houston,Texas,Steel,Stand Up,1993,55,90,85,2300,1,2:middle
Batman: The Ride,Six Flags New Orleans,New Orleans,Louisiana,Steel,Inverted,2003,50,105,80,2693,5,3:newer
Beast,Paramounts Kings Island,Kings Mills,Ohio,Wooden,Sit Down,1979,65,110,141,7400,0,1:older
Big Bad John,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Steel,Sit Down,2002,37,32,41,2349,0,3:newer
Big Bad Wolf,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Suspended,1984,48,100,80,2800,0,1:older
Blue Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1964,40,78,72,2558,0,1:older
Boss,Six Flags St. Louis,Eureka,Missouri,Wooden,Sit Down,2000,66,122,150,5051,0,3:newer
Boulder Dash,Lake Compounce,Bristol,Connecticut,Wooden,Sit Down,2000,60,,115,4725,0,3:newer
California Screamin,Disneys California Adventure,Anaheim,California,Steel,Sit Down,2001,55,,108,6072,1,3:newer
Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,Wooden,Sit Down,1967,50,70,70,2272,0,1:older
Canyon Blaster,Adventuredome,Las Vegas,Nevada,Steel,Sit Down,1993,41,94,66,2423,4,2:middle
Chang,Six Flags Kentucky Kingdom,Louisville,Kentucky,Steel,Stand Up,1997,63,154,144,4155,5,2:middle
Cheetah,Wild Adventures,Valdosta,Georgia,Wooden,Sit Down,2001,52,92,90,2680,0,3:newer
Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,Wooden,Sit Down,1935,50,55,52,2650,0,1:older
Colossus,Six Flags Magic Mountain,Valencia,California,Wooden,Sit Down,1978,62,125,115,4325,0,1:older
Comet,Great Escape,Lake George,New York,Wooden,Sit Down,1994,55,95,87,4197,0,2:middle
Comet,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1946,50,84,78,3360,0,1:older
Comet,Waldameer Park,Erie,Pennsylvania,Wooden,Sit Down,1951,25,37,25,1300,0,1:older
